kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_c41559	Elongation factor 1-alpha OS=Entamoeba histolytica OX=5759 PE=2 SV=1 E(blastx)=2e-10
kb8_rep_c14835	Inward rectifier potassium channel Kirbac3.1 OS=Magnetospirillum magnetotacticum OX=188 PE=1 SV=2 E(blastx)=5e-18
kb8_c33343	NADPH-dependent D-xylose reductase OS=Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) OX=294746 GN=XYL1 PE=1 SV=2 E(blastx)=2e-32
kb8_rep_c2064	Calmodulin OS=Dictyostelium discoideum OX=44689 GN=calA PE=1 SV=3 E(blastx)=2e-11
kb8_s58010	Formamidopyrimidine-DNA glycosylase OS=Arabidopsis thaliana OX=3702 GN=FPG1 PE=1 SV=1 E(blastx)=2e-19
kb8_c35303	Multidrug resistance protein pgp-3 OS=Caenorhabditis elegans OX=6239 GN=pgp-3 PE=2 SV=2 E(blastx)=1e-31
kb8_rep_c47	Serine/arginine-rich splicing factor SR45 OS=Arabidopsis thaliana OX=3702 GN=SR45 PE=1 SV=1 E(blastx)=9e-17
kb8_s57675	Succinate--CoA ligase [ADP-forming] subunit beta OS=Sulfurihydrogenibium sp. (strain YO3AOP1) OX=436114 GN=sucC PE=3 SV=1 E(blastx)=2e-11
kb8_rep_c11288	Vacuolar fusion protein MON1 homolog OS=Oryza sativa subsp. japonica OX=39947 GN=MON1 PE=3 SV=1 E(blastx)=5e-54
kb8_c35672	Heparan-alpha-glucosaminide N-acetyltransferase OS=Homo sapiens OX=9606 GN=HGSNAT PE=1 SV=2 E(blastx)=2e-08
kb8_c18523	Protein mono-ADP-ribosyltransferase TIPARP OS=Mus musculus OX=10090 GN=Tiparp PE=2 SV=1 E(blastx)=2e-09
kb8_rep_c5075	Fructose-bisphosphate aldolase OS=Plasmodium falciparum OX=5833 PE=1 SV=1 E(blastx)=4e-104
kb8_rep_c14139	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=9e-42
kb8_c23987	Copper-transporting ATPase 2 OS=Ovis aries OX=9940 GN=ATP7B PE=2 SV=1 E(blastx)=5e-17
kb8_rep_c10621	Mycocerosic acid synthase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=mas PE=1 SV=2 E(blastx)=1e-43
kb8_s57459	Serine/threonine-protein kinase Nek3 OS=Oryza sativa subsp. japonica OX=39947 GN=NEK3 PE=1 SV=1 E(blastx)=2e-12
kb8_c15669	Calpain-5 OS=Homo sapiens OX=9606 GN=CAPN5 PE=1 SV=2 E(blastx)=7e-15
kb8_rep_c8622	Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 OS=Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) OX=229533 GN=PRP28 PE=3 SV=1 E(blastx)=3e-170
kb8_s70089	Alpha-1,2-mannosyltransferase MNN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNN2 PE=1 SV=1 E(blastx)=2e-07
kb8_c16019	Post-transcriptional regulator MKT1 OS=Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) OX=235443 GN=MKT1 PE=1 SV=1 E(blastx)=5e-36
kb8_rep_c2119	Voltage-dependent L-type calcium channel subunit alpha-1C OS=Oryctolagus cuniculus OX=9986 GN=CACNA1C PE=1 SV=1 E(blastx)=8e-08
kb8_rep_c6561	Poly [ADP-ribose] polymerase 1 OS=Gallus gallus OX=9031 GN=PARP1 PE=1 SV=2 E(blastx)=4e-05
kb8_c17461	Protein PNS1 OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=PNS1 PE=3 SV=2 E(blastx)=5e-16
kb8_s59000	ABC transporter D family member 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABCC2 PE=1 SV=1 E(blastx)=2e-12
kb8_c36262	Tubulin delta chain OS=Xenopus tropicalis OX=8364 GN=tubd1 PE=2 SV=1 E(blastx)=9e-07
kb8_c40676	Serine/threonine-protein kinase cds1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cds1 PE=1 SV=2 E(blastx)=3e-07
kb8_s59743	40S ribosomal protein S3-3 OS=Arabidopsis thaliana OX=3702 GN=RPS3C PE=1 SV=1 E(blastx)=5e-41
kb8_s55619	60S ribosomal protein L7a-2 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL7A-2 PE=2 SV=1 E(blastx)=2e-27
kb8_c19770	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] B OS=Dictyostelium discoideum OX=44689 GN=tpsB PE=3 SV=1 E(blastx)=3e-49
kb8_c47467	Beta-hexosaminidase 1 OS=Arabidopsis thaliana OX=3702 GN=HEXO1 PE=1 SV=1 E(blastx)=3e-07
kb8_rep_c3930	RNA polymerase II transcriptional coactivator SUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUB1 PE=1 SV=1 E(blastx)=1e-06
kb8_c7729	ER lumen protein-retaining receptor erd-2.2 OS=Caenorhabditis elegans OX=6239 GN=erd-2.2 PE=3 SV=1 E(blastx)=5e-13
kb8_s61703	Actin (Fragment) OS=Oxybasis rubra OX=3560 PE=3 SV=1 E(blastx)=3e-11
kb8_c11942	Piwi-like protein 1 OS=Homo sapiens OX=9606 GN=PIWIL1 PE=1 SV=1 E(blastx)=7e-61
kb8_rep_c20031	Probable folate-biopterin transporter 6 OS=Arabidopsis thaliana OX=3702 GN=At5g10820 PE=2 SV=1 E(blastx)=8e-16
kb8_rep_c1460	Very-long-chain aldehyde decarbonylase GL1-10 OS=Oryza sativa subsp. japonica OX=39947 GN=GL1-10 PE=2 SV=1 E(blastx)=2e-07
kb8_rep_c4177	COP9 signalosome complex subunit 2 (Fragment) OS=Xenopus laevis OX=8355 GN=csn2 PE=2 SV=1 E(blastx)=2e-124
kb8_rep_c8393	RNA-binding protein 38 OS=Homo sapiens OX=9606 GN=RBM38 PE=1 SV=2 E(blastx)=4e-09
kb8_s67179	60S ribosomal protein L12 OS=Mus musculus OX=10090 GN=Rpl12 PE=1 SV=2 E(blastx)=7e-42
kb8_c14816	RNA-binding protein Musashi homolog Rbp6 OS=Drosophila melanogaster OX=7227 GN=Rbp6 PE=2 SV=3 E(blastx)=1e-37
kb8_rep_c58934	Protein white OS=Ceratitis capitata OX=7213 GN=W PE=2 SV=1 E(blastx)=2e-07
kb8_rep_c27705	Heat shock protein 60, mitochondrial OS=Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) OX=502779 GN=HSP60 PE=1 SV=1 E(blastx)=1e-48
kb8_rep_c4186	Probable NADH dehydrogenase OS=Dictyostelium discoideum OX=44689 GN=DDB_G0270104 PE=3 SV=2 E(blastx)=6e-81
kb8_c23924	H(+)/Cl(-) exchange transporter 3 OS=Rattus norvegicus OX=10116 GN=Clcn3 PE=2 SV=2 E(blastx)=5e-31
kb8_c35175	DNA mismatch repair protein msh-2 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=msh-2 PE=3 SV=1 E(blastx)=9e-69
kb8_s63447	Electron transfer flavoprotein subunit beta, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ETFB PE=1 SV=1 E(blastx)=2e-24
kb8_c18132	Centrosomal protein of 164 kDa OS=Mus musculus OX=10090 GN=Cep164 PE=1 SV=2 E(blastx)=4e-09
kb8_rep_c6504	Probable serine/threonine-protein kinase DDB_G0267514 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0267514 PE=3 SV=1 E(blastx)=3e-37
kb8_s71541	Mitochondrial-processing peptidase subunit beta OS=Dictyostelium discoideum OX=44689 GN=mppB PE=1 SV=1 E(blastx)=1e-14
kb8_rep_c21727	Cell wall protein DAN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAN4 PE=2 SV=1 E(blastx)=8e-05
kb8_c23159	E3 ubiquitin-protein ligase HACE1 OS=Bos taurus OX=9913 GN=HACE1 PE=3 SV=3 E(blastx)=1e-09
kb8_c12329	Low conductance mechanosensitive channel YnaI OS=Escherichia coli (strain K12) OX=83333 GN=ynaI PE=1 SV=1 E(blastx)=9e-31
kb8_rep_c2092	DNA polymerase alpha catalytic subunit OS=Xenopus laevis OX=8355 GN=pola1 PE=1 SV=1 E(blastx)=4e-166
kb8_rep_c5227	ERAD-associated E3 ubiquitin-protein ligase doa10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=doa10 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c54932	40S ribosomal protein S8 OS=Oryza sativa subsp. japonica OX=39947 GN=RPS8 PE=2 SV=2 E(blastx)=1e-65
kb8_c47694	Ankyrin repeat domain-containing protein 31 OS=Homo sapiens OX=9606 GN=ANKRD31 PE=2 SV=2 E(blastx)=3e-09
kb8_rep_c16073	Nuclear migration protein nudC OS=Gallus gallus OX=9031 GN=NUDC PE=2 SV=1 E(blastx)=1e-05
kb8_rep_c51041	Eukaryotic translation initiation factor 4E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC33 PE=1 SV=1 E(blastx)=5e-14
kb8_rep_c19024	D-threo-aldose 1-dehydrogenase OS=Pseudomonas sp. OX=306 GN=fdh PE=1 SV=1 E(blastx)=8e-05
kb8_s68589	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C OS=Rattus norvegicus OX=10116 GN=Pde1c PE=1 SV=1 E(blastx)=5e-10
kb8_rep_c1861	Protein TANC1 OS=Mus musculus OX=10090 GN=Tanc1 PE=1 SV=2 E(blastx)=5e-19
kb8_s63216	Methionine--tRNA ligase, cytoplasmic OS=Caenorhabditis elegans OX=6239 GN=mars-1 PE=3 SV=1 E(blastx)=1e-11
kb8_c14956	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 OS=Mus musculus OX=10090 GN=Hcn3 PE=1 SV=1 E(blastx)=3e-08
kb8_c34298	Protein arginine N-methyltransferase 7 OS=Oryza sativa subsp. japonica OX=39947 GN=PRMT7 PE=2 SV=1 E(blastx)=1e-12
kb8_rep_c342	Peptidyl-prolyl cis-trans isomerase D OS=Rattus norvegicus OX=10116 GN=Ppid PE=1 SV=3 E(blastx)=2e-06
kb8_c25580	ATP-dependent translocase ABCB1 OS=Rattus norvegicus OX=10116 GN=Abcb1 PE=2 SV=1 E(blastx)=1e-80
kb8_s57213	Structural maintenance of chromosomes protein 4 OS=Xenopus laevis OX=8355 GN=smc4 PE=1 SV=1 E(blastx)=2e-28
kb8_rep_c10150	40S ribosomal protein S15 OS=Oryza sativa subsp. japonica OX=39947 GN=RPS15 PE=2 SV=2 E(blastx)=8e-71
kb8_s52652	Probable peptidyl-tRNA hydrolase 2 OS=Drosophila melanogaster OX=7227 GN=CG1307 PE=2 SV=2 E(blastx)=7e-09
kb8_rep_c9999	ATP-binding cassette sub-family A member 5 OS=Homo sapiens OX=9606 GN=ABCA5 PE=2 SV=2 E(blastx)=3e-74
kb8_c32714	Tubulin polymerization-promoting protein family member 2 OS=Bos taurus OX=9913 GN=TPPP2 PE=2 SV=1 E(blastx)=1e-06
kb8_rep_c20999	Probable dual-specificity RNA methyltransferase RlmN OS=Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / NRRL B-24157 / PYR-1) OX=350058 GN=rlmN PE=3 SV=1 E(blastx)=4e-42
kb8_c41215	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus OX=10090 GN=Ankrd44 PE=1 SV=1 E(blastx)=4e-07
kb8_c4461	Calcium/calmodulin-dependent protein kinase type IV OS=Mus musculus OX=10090 GN=Camk4 PE=1 SV=2 E(blastx)=5e-31
kb8_rep_c8806	Probable serine/threonine-protein kinase MARK-B OS=Dictyostelium discoideum OX=44689 GN=mrkB PE=3 SV=1 E(blastx)=7e-15
kb8_rep_c13699	Gamma-aminobutyric acid type B receptor subunit 2 OS=Homo sapiens OX=9606 GN=GABBR2 PE=1 SV=1 E(blastx)=2e-18
kb8_c12047	RNA-binding protein 42 OS=Rattus norvegicus OX=10116 GN=Rbm42 PE=1 SV=2 E(blastx)=1e-43
kb8_c15861	Tubulin polyglutamylase TTLL5 OS=Mus musculus OX=10090 GN=Ttll5 PE=1 SV=3 E(blastx)=1e-78
kb8_rep_c6302	Phosphatidylinositol 4-phosphate 5-kinase 1 OS=Arabidopsis thaliana OX=3702 GN=PIP5K1 PE=1 SV=1 E(blastx)=6e-16
kb8_c13550	Esterase OVCA2 OS=Mus musculus OX=10090 GN=Ovca2 PE=1 SV=1 E(blastx)=3e-07
kb8_c21716	Interferon-inducible GTPase 5 OS=Homo sapiens OX=9606 GN=IRGC PE=1 SV=1 E(blastx)=5e-19
kb8_rep_c1925	40S ribosomal protein S9-1 OS=Arabidopsis thaliana OX=3702 GN=RPS9B PE=1 SV=1 E(blastx)=3e-77
kb8_rep_c13027	Protein dispatched homolog 3 OS=Gallus gallus OX=9031 GN=DISP3 PE=1 SV=1 E(blastx)=1e-07
kb8_rep_c10171	Phosphatidylinositol 4-phosphate 5-kinase 8 OS=Arabidopsis thaliana OX=3702 GN=PIP5K8 PE=1 SV=1 E(blastx)=1e-30
kb8_c24743	Protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABC1K3 PE=1 SV=1 E(blastx)=1e-05
kb8_rep_c53701	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=3e-31
kb8_s65348	Nascent polypeptide-associated complex subunit alpha-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g12390 PE=1 SV=1 E(blastx)=3e-27
kb8_c16497	Sodium/calcium exchanger 3 OS=Rattus norvegicus OX=10116 GN=Slc8a3 PE=1 SV=1 E(blastx)=7e-50
kb8_c50144	Ankyrin repeat domain-containing protein 29 OS=Danio rerio OX=7955 GN=ankrd29 PE=2 SV=1 E(blastx)=2e-20
kb8_c31466	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus OX=10090 GN=Aldh6a1 PE=1 SV=1 E(blastx)=3e-137
kb8_c9452	E3 ubiquitin-protein ligase Ufd4 OS=Drosophila melanogaster OX=7227 GN=Ufd4 PE=2 SV=1 E(blastx)=5e-48
kb8_rep_c3477	30S ribosomal protein S1, chloroplastic OS=Spinacia oleracea OX=3562 GN=RPS1 PE=1 SV=1 E(blastx)=8e-15
kb8_rep_c452	Protein MEI2-like 3 OS=Arabidopsis thaliana OX=3702 GN=ML3 PE=2 SV=2 E(blastx)=7e-11
kb8_c31715	Vegetative incompatibility protein HET-E-1 OS=Podospora anserina OX=2587412 GN=HET-E1 PE=4 SV=1 E(blastx)=5e-29
kb8_rep_c9315	Serine/threonine-protein phosphatase T OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ppt1 PE=3 SV=2 E(blastx)=9e-23
kb8_rep_c48089	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Thermosynechococcus elongatus (strain BP-1) OX=197221 GN=dxr PE=3 SV=1 E(blastx)=7e-07
kb8_c27851	Tyrosine--tRNA ligase, cytoplasmic OS=Xenopus laevis OX=8355 GN=yars1 PE=2 SV=1 E(blastx)=1e-13
kb8_s68995	Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2 E(blastx)=2e-06
kb8_rep_c4009	NUAK family SNF1-like kinase 2 OS=Homo sapiens OX=9606 GN=NUAK2 PE=1 SV=1 E(blastx)=2e-24
kb8_c16645	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 OS=Arabidopsis thaliana OX=3702 GN=SFH7 PE=2 SV=2 E(blastx)=1e-07
kb8_c43538	Glycosyltransferase 25 family member OS=Aedes aegypti OX=7159 GN=AAEL003481 PE=3 SV=1 E(blastx)=3e-08
kb8_c22581	ABC transporter G family member 11 OS=Arabidopsis thaliana OX=3702 GN=ABCG11 PE=1 SV=1 E(blastx)=1e-39
kb8_c41199	Probable beta-glucosidase J OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=bglJ PE=3 SV=1 E(blastx)=9e-59
kb8_c25281	Fatty acid amide hydrolase 1 OS=Caenorhabditis elegans OX=6239 GN=faah-1 PE=1 SV=1 E(blastx)=1e-50
kb8_s61378	Probable protein phosphatase 2C 30 OS=Oryza sativa subsp. japonica OX=39947 GN=PP2C30 PE=1 SV=1 E(blastx)=2e-11
kb8_rep_c41072	Adenosine kinase OS=Rattus norvegicus OX=10116 GN=Adk PE=1 SV=3 E(blastx)=7e-07
kb8_s61005	Photosystem I reaction center subunit XI OS=Cyanidioschyzon merolae (strain 10D) OX=280699 GN=psaL PE=1 SV=1 E(blastx)=2e-25
kb8_rep_c10157	Monocarboxylate transporter 9 OS=Homo sapiens OX=9606 GN=SLC16A9 PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c1798	Phosphatidylinositol 4-phosphate 5-kinase 1 OS=Arabidopsis thaliana OX=3702 GN=PIP5K1 PE=1 SV=1 E(blastx)=2e-29
kb8_c15287	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase OS=Myxoma virus (strain Uriarra) OX=265876 GN=PAPS PE=3 SV=1 E(blastx)=5e-16
kb8_rep_c51203	14-3-3 family protein artA OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=artA PE=3 SV=1 E(blastx)=2e-85
kb8_rep_c7722	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens OX=9606 GN=SAMHD1 PE=1 SV=2 E(blastx)=2e-61
kb8_c20910	Ribosomal RNA small subunit methyltransferase E OS=Treponema pallidum (strain Nichols) OX=243276 GN=rsmE PE=3 SV=1 E(blastx)=3e-10
kb8_c10653	Probable RNA methyltransferase CG1239 OS=Drosophila melanogaster OX=7227 GN=CG1239 PE=2 SV=2 E(blastx)=8e-29
kb8_s66647	Tubulin beta-1 chain OS=Pisum sativum OX=3888 GN=TUBB1 PE=3 SV=1 E(blastx)=2e-06
kb8_rep_c10104	Transmembrane protein 144 OS=Homo sapiens OX=9606 GN=TMEM144 PE=1 SV=1 E(blastx)=2e-47
kb8_rep_c897	Triosephosphate isomerase OS=Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) OX=240176 GN=TPI PE=3 SV=2 E(blastx)=2e-63
kb8_rep_c41658	Isocitrate dehydrogenase [NADP] 2 OS=Colwellia maris OX=77524 GN=icd2 PE=1 SV=3 E(blastx)=8e-118
kb8_c4048	6-hydroxynicotinate 3-monooxygenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=nicC PE=1 SV=1 E(blastx)=1e-22
kb8_c11903	Centrosomal protein of 41 kDa OS=Xenopus tropicalis OX=8364 GN=cep41 PE=2 SV=1 E(blastx)=1e-13
kb8_rep_c3469	Serine carboxypeptidase-like 39 OS=Arabidopsis thaliana OX=3702 GN=SCPL39 PE=2 SV=1 E(blastx)=2e-82
kb8_c12768	31 kDa ribonucleoprotein, chloroplastic OS=Nicotiana plumbaginifolia OX=4092 PE=2 SV=1 E(blastx)=5e-08
kb8_s69434	Glyoxylate/succinic semialdehyde reductase 1 OS=Arabidopsis thaliana OX=3702 GN=GLYR1 PE=1 SV=1 E(blastx)=2e-35
kb8_rep_c9653	DnaJ homolog subfamily C member 7 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC543.02c PE=4 SV=1 E(blastx)=1e-28
kb8_rep_c10302	Ankyrin repeat domain-containing protein 50 OS=Homo sapiens OX=9606 GN=ANKRD50 PE=1 SV=4 E(blastx)=1e-18
kb8_c15900	Cytochrome P450 monooxygenase abl5 OS=Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) OX=985895 GN=abl5 PE=2 SV=1 E(blastx)=3e-10
kb8_rep_c14049	ABC transporter D family member 1 OS=Arabidopsis thaliana OX=3702 GN=ABCD1 PE=1 SV=1 E(blastx)=5e-86
kb8_c9779	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Xenopus tropicalis OX=8364 GN=ppp1cc PE=2 SV=1 E(blastx)=4e-96
kb8_rep_c4427	DnaJ homolog subfamily C member 14 OS=Mus musculus OX=10090 GN=Dnajc14 PE=2 SV=2 E(blastx)=3e-08
kb8_rep_c51110	Beta-glucosidase 32 OS=Arabidopsis thaliana OX=3702 GN=BGLU32 PE=2 SV=2 E(blastx)=4e-20
kb8_rep_c3771	Arylsulfatase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=atsA PE=1 SV=3 E(blastx)=3e-52
kb8_c15544	Probable phosphatidylinositol phosphate kinase DDB_G0267588 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0267588 PE=1 SV=1 E(blastx)=6e-20
kb8_rep_c995	Nucleosome assembly protein 1;3 OS=Nicotiana tabacum OX=4097 GN=NAP1;3 PE=1 SV=1 E(blastx)=4e-13
kb8_s69107	RAP domain-containing protein, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=AL1 PE=2 SV=1 E(blastx)=8e-12
kb8_s58769	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Mus musculus OX=10090 GN=Taf5l PE=2 SV=1 E(blastx)=5e-05
kb8_s52358	Energy-coupling factor transporter ATP-binding protein EcfA2 OS=Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1) OX=323259 GN=ecfA2 PE=3 SV=1 E(blastx)=6e-10
kb8_rep_c13011	Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP5 PE=1 SV=1 E(blastx)=2e-178
kb8_rep_c52643	AFG1-like ATPase OS=Rattus norvegicus OX=10116 GN=Afg1l PE=2 SV=1 E(blastx)=9e-63
kb8_rep_c54474	Putative ammonium transporter sll0108 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0108 PE=3 SV=1 E(blastx)=2e-22
kb8_rep_c4775	Major basic nuclear protein 2 OS=Crypthecodinium cohnii OX=2866 GN=HCc2 PE=4 SV=1 E(blastx)=2e-15
kb8_s71120	S-adenosylmethionine synthase 3 OS=Hordeum vulgare OX=4513 GN=SAM3 PE=2 SV=1 E(blastx)=3e-32
kb8_c27234	Probable global transcription activator SNF2L1 OS=Homo sapiens OX=9606 GN=SMARCA1 PE=1 SV=2 E(blastx)=2e-37
kb8_c23287	Serine/threonine-protein kinase Nek5 OS=Homo sapiens OX=9606 GN=NEK5 PE=2 SV=1 E(blastx)=3e-37
kb8_s54298	E3 ubiquitin-protein ligase RNF43 OS=Mus musculus OX=10090 GN=Rnf43 PE=1 SV=1 E(blastx)=4e-08
kb8_rep_c38225	Retinol dehydrogenase 14 OS=Bos taurus OX=9913 GN=RDH14 PE=2 SV=1 E(blastx)=6e-05
kb8_s71261	UDP-galactose transporter OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gms1 PE=2 SV=3 E(blastx)=7e-06
kb8_c7142	Ankyrin repeat domain-containing protein 39 OS=Mus musculus OX=10090 GN=Ankrd39 PE=1 SV=1 E(blastx)=6e-14
kb8_s56569	Chaperone protein ClpC2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPC2 PE=1 SV=1 E(blastx)=2e-43
kb8_rep_c13917	Probable protein phosphatase 2C 59 OS=Arabidopsis thaliana OX=3702 GN=WIN2 PE=1 SV=1 E(blastx)=2e-38
kb8_rep_c4289	Protein HRB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRB1 PE=1 SV=2 E(blastx)=5e-17
kb8_rep_c44864	Orsellinic acid synthase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=orsA PE=1 SV=1 E(blastx)=3e-13
kb8_c49004	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=4e-09
kb8_c15461	7-methylguanosine phosphate-specific 5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5C3B PE=2 SV=1 E(blastx)=2e-22
kb8_rep_c1467	Beta-glucanase OS=Hungateiclostridium thermocellum OX=1515 GN=licB PE=1 SV=1 E(blastx)=4e-18
kb8_rep_c32953	Dynein-1-alpha heavy chain, flagellar inner arm I1 complex OS=Chlamydomonas reinhardtii OX=3055 GN=DHC1 PE=1 SV=1 E(blastx)=1e-113
kb8_s67885	Dynactin subunit 5 OS=Dictyostelium discoideum OX=44689 GN=dynE PE=3 SV=1 E(blastx)=9e-16
kb8_s69358	RAP domain-containing protein, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=AL1 PE=2 SV=1 E(blastx)=3e-09
kb8_rep_c31257	Voltage-dependent T-type calcium channel subunit alpha-1H OS=Mus musculus OX=10090 GN=Cacna1h PE=1 SV=3 E(blastx)=7e-10
kb8_rep_c14193	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 OS=Bos taurus OX=9913 GN=ALKBH3 PE=2 SV=1 E(blastx)=1e-13
kb8_c15354	Kynurenine 3-monooxygenase OS=Pseudomonas fluorescens OX=294 GN=kmo PE=1 SV=1 E(blastx)=7e-24
kb8_c32337	BolA-like protein 1 OS=Bos taurus OX=9913 GN=BOLA1 PE=2 SV=1 E(blastx)=2e-10
kb8_c44302	Kinesin-like protein KIN-13B OS=Arabidopsis thaliana OX=3702 GN=KIN13B PE=1 SV=1 E(blastx)=1e-05
kb8_rep_c6305	Probable mitochondrial 2-oxodicarboxylate carrier OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC328.09 PE=3 SV=1 E(blastx)=3e-47
kb8_c48583	Calmodulin OS=Physarum polycephalum OX=5791 PE=2 SV=3 E(blastx)=4e-09
kb8_rep_c19523	Fumarate reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=osm1 PE=3 SV=1 E(blastx)=2e-51
kb8_s68983	Probable L-ascorbate peroxidase 8, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=APX8 PE=1 SV=2 E(blastx)=5e-13
kb8_rep_c2848	Translation initiation factor IF-3 OS=Deinococcus geothermalis (strain DSM 11300 / AG-3a) OX=319795 GN=infC PE=3 SV=1 E(blastx)=1e-15
kb8_c36956	Protein phosphatase 1 regulatory subunit 12B OS=Homo sapiens OX=9606 GN=PPP1R12B PE=1 SV=2 E(blastx)=3e-09
kb8_rep_c30947	Calcium-dependent protein kinase 7 OS=Arabidopsis thaliana OX=3702 GN=CPK7 PE=2 SV=1 E(blastx)=2e-23
kb8_rep_c28619	Ammonium transporter 1 member 3 OS=Solanum lycopersicum OX=4081 GN=AMT1-3 PE=2 SV=1 E(blastx)=9e-39
kb8_s55580	Dimethylsulfonioproprionate lyase 7 OS=Emiliania huxleyi OX=2903 GN=ALMA7 PE=3 SV=1 E(blastx)=2e-26
